name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
rnd_086,random,volatility,"Max(Std($vwap,40),20)/(Max(Std($vwap,40),60)+1e-12)-1",1,15,1,5.458167254581451e-05,0.003698259230476272,-0.139955162991928,0.04195718839764595,0.00026140952975732095,-0.0038071291298483216,rejected
rnd_087,random,volatility,"(Min($vwap,20)-Mean(Min($vwap,20),60))/(Std(Min($vwap,20),60)+1e-12)",-1,17,1,0.013401035061908552,0.0034296451762016083,1.807153238297771,0.3365006446838379,0.004485589370313425,0.03016993853667849,rejected
rnd_089,random,price_volume,"Std(Corr(($close/Ref($close,1)-1),$volume,40),20)/(Min($open,60)+1e-12)",-1,18,7,0.013249507118006803,0.006736589376157682,2.1866984537743286,0.4468885660171509,0.011945204588643548,-0.03487703658885273,rejected
rnd_090,random,volatility,"Max(Std((($high-$low)/$close),20),40)/(Max(Std((($high-$low)/$close),20),60)+1e-12)-1",-1,23,3,0.013856429673778413,-0.004151995752590511,2.3458300055290042,0.22849661111831665,0.001834588644747794,0.028458792625043094,rejected
rnd_091,random,range,"Mean($open,10)/(Min(Log($volume+1),40)+1e-12)",1,12,4,0.010706538165473007,0.012705636793425065,1.681431453974151,0.31209471821784973,0.00398118582066239,-0.031150924675545436,rejected
rnd_092,random,reversal,"Corr(($close/Ref($close,1)-1),$open,5)",1,10,7,0.0014708889652450758,-0.0007160745779862765,0.857328808643266,0.22461307048797607,0.0016830306345347757,0.0019144098502874589,rejected
rnd_093,random,liquidity,"($volume-Mean($volume,5))/(Std($volume,5)+1e-12)",-1,11,3,0.006540648732939032,0.005823987127152243,0.5014965505633207,-0.08553487807512283,6.011084620379029e-05,-0.0021318616403192994,rejected
rnd_096,random,range,"Rank(Sum($volume,40)/(Sum($volume,5)+1e-12)-1,40)",1,13,1,0.005924411932368093,0.0008640382650080712,1.8318853669341866,0.06083846837282181,0.0003648356182517697,-0.010732051044607107,rejected
rnd_098,random,volatility,"Std($vwap,5)",1,3,1,0.006674278941528683,0.011163488736955569,0.9072524338982487,0.667284369468689,0.05056681202766335,-0.04650287166628532,rejected
rnd_101,random,liquidity,"Sum(Log($volume+1),60)/(Sum(Log($volume+1),10)+1e-12)-1",1,17,4,0.01937760863135763,0.013330365490496198,3.2154595338208285,0.3905739188194275,0.006546455140133502,0.01924424025154684,probation
rnd_104,random,range,"EMA($high,20)",1,3,1,0.01102302303568145,0.012701560868405829,1.7244133310632532,0.365253210067749,0.00622017982675001,-0.03201160850898388,rejected
rnd_107,random,volatility,"Std(Min($open,10)/(Min($open,40)+1e-12)-1,20)",-1,13,1,0.007891793343048657,-0.004370415640080374,0.98362311045762,-0.3002853989601135,3.3904249299004315e-06,0.05339222038836978,rejected
rnd_109,random,volatility,"Min(Skew($open,60),5)/(Min(Skew($open,60),20)+1e-12)-1",-1,15,1,0.003294936104295569,0.002055452291140532,0.8047095412679668,0.1870643049478531,0.0012770969268056092,-0.001150515761080786,rejected
rnd_110,random,price_volume,"Corr(($close-Mean($close,20))/(Std($close,20)+1e-12),$volume,10)",-1,14,3,0.0372825195729382,0.024878966805051347,6.271721006990666,1.0728769302368164,0.315526689660268,0.021503609213131696,rejected
rnd_111,random,volatility,"(Delta($high,5)-Mean(Delta($high,5),60))/(Std(Delta($high,5),60)+1e-12)",-1,17,1,0.018698608368192877,0.010675795782374906,2.4284497834451892,0.19337263703346252,0.0012778383339425445,0.00024930981564087404,rejected
rnd_115,random,price_volume,"Corr(Corr(($close/Ref($close,1)-1),$high,60),$volume,60)",-1,13,7,0.0038682437899561673,-0.0009424887534176845,0.7115905253387008,-0.14235332608222961,3.142361574453231e-05,-0.000542746371471263,rejected
rnd_118,random,liquidity,"Sum(Log($volume+1),60)",-1,6,4,0.007372037045799641,0.0016072338602791995,1.126974735606469,0.15735110640525818,0.0008606166544031829,-0.013005087395573357,rejected
gp_0131,gp,reversal,"Mean($vwap, 5) / (Sum($vwap, 20) + 1e-12) - 1",-1,11,1,0.025240748131549376,0.01967085539574411,3.0448422534398465,0.33912211656570435,0.003995589451255678,0.010656261892807422,rejected
gp_0132,gp,other,$close,1,1,1,0.009365399933190542,0.01180818125230865,1.4770440063483323,0.3077719807624817,0.0037950858790794257,-0.032493611972854546,rejected
gp_0133,gp,reversal,"Corr($close / Ref($vwap, 1) - 1, $open, 5)",-1,10,1,0.0014049668161154735,0.0030541035443562166,-0.13380375052636165,-0.028523866087198257,0.00011748817144871492,-0.0033045082462604828,rejected
gp_0134,gp,reversal,"Corr(Corr($close / Ref($close, 1) - 1, $open, 5) - 1, $open, 20)",-1,15,7,0.016206262101453754,0.015015575682065642,3.1724486458791725,1.12375009059906,0.36822394059337255,0.005485408275843268,probation
gp_0135,gp,reversal,"EMA($vwap, 20) / Ref($close, 5) - 1",-1,9,3,0.0017022767674484494,0.002471516797561573,0.11970761771207143,-0.14138130843639374,2.3483713724119006e-05,-0.007673174295877944,rejected
gp_0136,gp,reversal,"Corr($close / EMA($vwap, 20) - 1, $open, 20)",1,10,1,0.010952197144182316,0.013428910075920049,1.4142696943212676,0.6669737696647644,0.03978259032677107,0.003903005652077611,rejected
gp_0137,gp,volatility,"Std(Std($close, 40) / Ref($close, 1) - 1, 20)",-1,11,3,0.00994216444703946,0.0013826467666221334,1.1546347982962526,-0.138059601187706,2.7461624562108882e-05,0.01633780643023589,rejected
gp_0138,gp,price_volume,"Std($volume, 5) / (Skew($close, 60) + 1e-12)",-1,9,3,0.013103569446368852,0.00271221635605423,2.913161250351539,0.3586007356643677,0.005281109809131207,0.004969266609805322,rejected
